zip,primary_city,inventory,sfr,condo,townhouse,new_construction,avg_price,median_price,avg_ppsf,reduced_count,pct_reduced
78641,Leander,633,607,11,9,106,734337,535000,247,322,51
78640,Kyle,575,532,0,25,228,370877,331927,185,325,57
78628,Georgetown,551,526,9,9,138,662568,597500,238,328,60
78660,Pflugerville,469,441,16,10,111,452244,413430,196,267,57
78642,Liberty Hill,467,460,0,1,170,681869,574900,234,252,54
78666,San Marcos,396,324,49,3,124,446648,339000,213,247,62
78634,Hutto,380,372,3,0,112,410525,366990,191,226,59
78704,Austin,369,168,184,5,66,1132845,835000,590,164,44
78633,Georgetown,360,357,3,0,93,574376,467895,239,212,59
78602,Bastrop,354,336,1,1,80,535606,430000,237,201,57
78645,Lago Vista,334,258,47,22,36,743837,525000,291,173,52
78610,Buda,321,304,1,10,73,443912,379000,198,163,51
78621,Elgin,318,304,0,0,127,402211,312900,207,170,53
78745,Austin,305,192,86,4,49,534327,470000,331,171,56
78653,Manor,284,275,0,8,96,482091,362990,218,137,48
78620,Dripping Springs,280,274,2,0,54,1360467,799000,451,139,50
76537,Jarrell,276,264,6,0,118,410577,283470,223,156,57
78669,Spicewood,272,260,8,1,26,1445966,1045000,493,132,49
78734,Austin,261,191,64,5,6,1128174,779000,366,134,51
78738,Austin,257,226,31,0,17,1508690,1025000,376,127,49
78626,Georgetown,255,233,10,9,32,524699,399990,240,116,45
78701,Austin,250,2,248,0,25,1100191,739000,798,120,48
78654,Marble Falls,219,211,3,1,28,1032785,599999,410,109,50
78665,Round Rock,214,201,1,12,32,506592,428000,204,116,54
78705,Austin,209,11,195,0,0,396776,324900,419,73,35
78657,Horseshoe Bay,207,152,37,14,29,1521080,934900,463,94,45
78702,Austin,193,128,58,4,38,828641,685000,538,99,51
78613,Cedar Park,186,165,14,6,3,569963,499000,229,85,46
78676,Wimberley,184,173,3,5,29,1133092,699000,423,94,51
78611,Burnet,178,173,0,0,11,902033,634000,367,95,53
78747,Austin,160,134,23,3,45,438997,386000,218,91,57
78744,Austin,159,137,17,2,39,486515,450000,232,75,47
78664,Round Rock,153,123,20,6,13,464476,398000,214,77,50
78703,Austin,151,72,71,4,17,2083544,1395000,738,68,45
78746,Austin,145,114,27,2,15,3375390,2695000,801,62,43
78644,Lockhart,143,128,0,0,19,796515,349000,374,77,54
78757,Austin,142,91,45,2,25,829078,649499,415,76,54
78681,Round Rock,141,121,16,1,19,589499,540000,232,73,52
78723,Austin,139,80,43,12,14,568410,529000,369,70,50
78748,Austin,136,106,25,4,11,442878,418000,248,69,51
76574,Taylor,121,107,4,0,14,512314,310000,259,72,60
78741,Austin,119,37,68,7,13,451784,359000,295,67,56
78758,Austin,112,51,48,3,5,403574,399000,274,62,55
78639,Kingsland,109,98,0,0,12,1512134,1195000,533,47,43
